"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","SEO Optimization","1","Tiêu chuẩn cơ bản (parse HTML tĩnh)","0","0","Phân tích SEO chuyên sâu: Hàng bán chạy Best Seller","0"
"0","SEO Optimization","0","Tiêu chuẩn cơ bản (parse HTML tĩnh)","1","0","Phân tích SEO chuyên sâu: AIRFLEX™","0"
"0","SEO Optimization","1","Tiêu chuẩn chuyên sâu (Advanced — Phần B)","0","0","Phân tích SEO chuyên sâu (Phần B): QUẦN","0"
"0","SEO Optimization","1","Tiêu chuẩn chuyên sâu (Advanced — Phần B)","0","0","Phân tích SEO chuyên sâu (Phần B): ProCOOL™","0"
"1","SEO Optimization","0","Tiêu chuẩn chuyên sâu (Advanced — Phần B)","0","0","Phân tích SEO chuyên sâu (Phần B): ÁO HOODIE","0"
"0","SEO Optimization","0","Tiêu chuẩn cơ bản (parse HTML tĩnh)","1","0","Phân tích SEO chuyên sâu: ÁO POLO","0"
"1","SEO Optimization","0","Tiêu chuẩn chuyên sâu (Advanced — Phần B)","0","0","Phân tích SEO chuyên sâu (Phần B): ÁO SƠ MI","0"
"0","SEO Optimization","1","Tiêu chuẩn chuyên sâu (Advanced — Phần B)","0","0","Phân tích SEO chuyên sâu (Phần B): AIRFLEX™","0"
"0","SEO Optimization","1","Tiêu chuẩn cơ bản (parse HTML tĩnh)","0","0","Phân tích SEO chuyên sâu: Disney | Mickey & Friend","0"
"0","SEO Optimization","1","Tiêu chuẩn chuyên sâu (Advanced — Phần B)","0","0","Phân tích SEO chuyên sâu (Phần B): BALO - TÚI XÁCH","0"
"0","SEO Optimization","0","Tiêu chuẩn cơ bản (parse HTML tĩnh)","1","0","Phân tích SEO chuyên sâu: QUẦN","0"
"0","SEO Optimization","1","Tiêu chuẩn chuyên sâu (Advanced — Phần B)","0","0","Phân tích SEO chuyên sâu (Phần B): ÁO THUN","0"
"0","SEO Optimization","1","Tiêu chuẩn chuyên sâu (Advanced — Phần B)","0","0","Phân tích SEO chuyên sâu (Phần B): MẮT KÍNH","0"
"0","SEO Optimization","1","Tiêu chuẩn chuyên sâu (Advanced — Phần B)","0","0","Phân tích SEO chuyên sâu (Phần B): GIÀY DÉP","0"
"0","SEO Optimization","0","Tiêu chuẩn cơ bản (parse HTML tĩnh)","1","0","Phân tích SEO chuyên sâu: ÁO","0"
"0","SEO Optimization","1","Tiêu chuẩn chuyên sâu (Advanced — Phần B)","0","0","Phân tích SEO chuyên sâu (Phần B): ÁO BA LỖ","0"
"0","SEO Optimization","1","Tiêu chuẩn chuyên sâu (Advanced — Phần B)","0","0","Phân tích SEO chuyên sâu (Phần B): Trang chủ (Home Page)","0"
"0","SEO Optimization","1","Tiêu chuẩn chuyên sâu (Advanced — Phần B)","0","0","Phân tích SEO chuyên sâu (Phần B): Hàng bán chạy Best Seller","0"
"0","SEO Optimization","0","Tiêu chuẩn cơ bản (parse HTML tĩnh)","1","0","Phân tích SEO chuyên sâu: Trang chủ (Home Page)","0"
"0","SEO Optimization","1","Tiêu chuẩn chuyên sâu (Advanced — Phần B)","0","0","Phân tích SEO chuyên sâu (Phần B): ÁO POLO","0"
"0","SEO Optimization","0","Tiêu chuẩn cơ bản (parse HTML tĩnh)","1","0","Phân tích SEO chuyên sâu: MẮT KÍNH","0"
"0","SEO Optimization","0","Tiêu chuẩn cơ bản (parse HTML tĩnh)","1","0","Phân tích SEO chuyên sâu: ÁO SƠ MI","0"
"0","SEO Optimization","0","Tiêu chuẩn cơ bản (parse HTML tĩnh)","1","0","Phân tích SEO chuyên sâu: ÁO BA LỖ","0"
"0","SEO Optimization","1","Tiêu chuẩn chuyên sâu (Advanced — Phần B)","0","0","Phân tích SEO chuyên sâu (Phần B): ÁO KHOÁC","0"
"0","SEO Optimization","1","Tiêu chuẩn chuyên sâu (Advanced — Phần B)","0","0","Phân tích SEO chuyên sâu (Phần B): Outlet","0"
"0","","0","","1","0","","0"
"0","SEO Optimization","0","Tiêu chuẩn cơ bản (parse HTML tĩnh)","1","0","Phân tích SEO chuyên sâu: ÁO KHOÁC","0"
"0","SEO Optimization","1","Tiêu chuẩn chuyên sâu (Advanced — Phần B)","0","0","Phân tích SEO chuyên sâu (Phần B): ÁO","0"
"0","SEO Optimization","0","Tiêu chuẩn cơ bản (parse HTML tĩnh)","1","0","Phân tích SEO chuyên sâu: NÓN","0"
"1","SEO Optimization","0","Tiêu chuẩn chuyên sâu (Advanced — Phần B)","0","0","Phân tích SEO chuyên sâu (Phần B): PHỤ KIỆN","0"
"0","SEO Optimization","1","Tiêu chuẩn chuyên sâu (Advanced — Phần B)","0","0","Phân tích SEO chuyên sâu (Phần B): NÓN","0"
"0","SEO Optimization","1","Tiêu chuẩn chuyên sâu (Advanced — Phần B)","0","0","Phân tích SEO chuyên sâu (Phần B): ÁO LEN","0"
"0","SEO Optimization","0","Tiêu chuẩn cơ bản (parse HTML tĩnh)","1","0","Phân tích SEO chuyên sâu: ÁO HOODIE","0"
"0","SEO Optimization","0","Tiêu chuẩn cơ bản (parse HTML tĩnh)","1","0","Phân tích SEO chuyên sâu: ProCOOL™","0"
"0","SEO Optimization","0","Tiêu chuẩn cơ bản (parse HTML tĩnh)","1","0","Phân tích SEO chuyên sâu: ÁO NỈ - SWEATER","0"
"0","SEO Optimization","0","Tiêu chuẩn cơ bản (parse HTML tĩnh)","1","0","Phân tích SEO chuyên sâu: BALO - TÚI XÁCH","0"
"0","SEO Optimization","0","Tiêu chuẩn cơ bản (parse HTML tĩnh)","1","0","Phân tích SEO chuyên sâu: ĐỒ LÓT - BOXER","0"
"0","SEO Optimization","1","Tiêu chuẩn chuyên sâu (Advanced — Phần B)","0","0","Phân tích SEO chuyên sâu (Phần B): Disney | Mickey & Friend","0"
"1","SEO Optimization","0","Tiêu chuẩn chuyên sâu (Advanced — Phần B)","0","0","Phân tích SEO chuyên sâu (Phần B): ÁO NỈ - SWEATER","0"
"0","SEO Optimization","0","Tiêu chuẩn cơ bản (parse HTML tĩnh)","1","0","Phân tích SEO chuyên sâu: ÁO LEN","0"
"0","SEO Optimization","0","Tiêu chuẩn cơ bản (parse HTML tĩnh)","1","0","Phân tích SEO chuyên sâu: PHỤ KIỆN","0"
"0","SEO Optimization","0","Tiêu chuẩn cơ bản (parse HTML tĩnh)","1","0","Phân tích SEO chuyên sâu: Outlet","0"
"0","SEO Optimization","0","Tiêu chuẩn cơ bản (parse HTML tĩnh)","1","0","Phân tích SEO chuyên sâu: ÁO THUN","0"
"0","SEO Optimization","0","Tiêu chuẩn cơ bản (parse HTML tĩnh)","1","0","Phân tích SEO chuyên sâu: GIÀY DÉP","0"
"0","SEO Optimization","1","Tiêu chuẩn chuyên sâu (Advanced — Phần B)","0","0","Phân tích SEO chuyên sâu (Phần B): ĐỒ LÓT - BOXER","0"
